Agency,Agency_URL
Department of Agriculture,https://www.usda.gov/
Agricultural Cooperative Service,
Agricultural Marketing Service,https://www.ams.usda.gov/
Agricultural Research Service,https://www.ars.usda.gov/
Animal and Plant Health Inspection Service,https://www.aphis.usda.gov/
Economic Research Service,https://www.ers.usda.gov/
Economics and Statistics Service,
"Economics, Statistics, and Cooperative Service",
Economic Research Service,
Farmer Cooperative Service,
Statistical Reporting Service,
Food Safety and Inspection Service,https://www.fsis.usda.gov/
Foreign Agricultural Service,https://www.fas.usda.gov/
Forest Service,https://www.fs.usda.gov/
"Grain Inspection, Packers, and Stockyards Administration",https://www.gipsa.usda.gov/
Human Nutrition Information Service,
National Agricultural Statistics Service,https://www.nass.usda.gov/
"National Institute of Food and Agriculture (formerly Cooperative State Research, Education, and Extension Service)",https://nifa.usda.gov/
Office of International Cooperation and Development,
Office of Transportation,
Rural Business-Cooperative Service,
Science and Education Administration,
Agricultural Research Service,
Cooperative State Research Service,
National Agricultural Library,https://www.nal.usda.gov/main/
Department of Commerce,https://www.commerce.gov/
Economic Development Administration,https://www.eda.gov/
Environmental Science Services Administration,
Maritime Administration,
Minority Business Development Agency,https://www.mbda.gov/
National Fire Prevention and Control Administration,
National Institute of Standards and Technology,https://www.nist.gov/
National Oceanic and Atmospheric Administration,https://www.noaa.gov/
National Technical Information Service,https://www.ntis.gov/
National Telecommunications and Information Administration,https://www.ntia.doc.gov/
Office of the Secretary of Commerce,https://www.commerce.gov/bureaus-and-offices/office-secretary
Office of Telecommunications,
Patent and Trademark Office,https://www.uspto.gov/
U.S. Census Bureau,https://www.census.gov/
U.S. Travel and Tourism Administration,
Department of Defense,https://www.defense.gov/
Defense Agencies,
Chemical and Biological Defense,https://www.acq.osd.mil/ncbdp/cbd/
Defense Advanced Research Projects Agency,https://www.darpa.mil/
Defense Business Transformation Agency,
Defense Contract Management Agency,https://www.dcma.mil/
Defense Information Systems Agency,https://www.disa.mil/
Defense Logistics Agency,https://www.dla.mil/
Defense Nuclear Agency,
Defense Security Service,https://www.dcsa.mil/
Defense Special Weapons Agency,
Defense Technical Information Center,https://discover.dtic.mil/
Defense Threat Reduction Agency,https://www.dtra.mil/
Joint Staff,https://www.jcs.mil/
Missile Defense Agency,https://www.mda.mil/
National Imagery and Mapping Agency (formerly Defense Mapping Agency),https://www.nga.mil/
Special Operations Command,https://www.socom.mil/
Uniformed Services University of the Health Sciences,https://www.usuhs.edu/
Office of the Secretary of Defense,https://www.defense.gov/Our-Story/Office-of-the-Secretary-of-Defense/
Washington Headquarters Services,https://www.whs.mil/
Defense Civil Preparedness Agency,
Department of the Air Force,https://www.af.mil/
DT&E Support From Operations and Maintenance,
DT&E Support From Procurement Appropriations,
Housing for Military Personnel in R&D,
Materiel Command,https://www.amc.army.mil/
Military Construction,
Pay and Allowances of Military Personnel in R&D,
RDT&E Appropriation,
Space Command,
Special Foreign Currency Program,
Department of the Army,https://www.army.mil/
Civil Functions,
Housing for Military Personnel in R&D,
Military Construction,
Military Functions,
Pay and Allowances of Military Personnel in R&D,
RDT&E Appropriation,
Special Foreign Currency Program,
Support From Procurement Appropriations,
Department of the Navy,https://www.navy.mil/
DT&E Support From Operations and Maintenance,
DT&E Support From Procurement Appropriations,
Housing for Military Personnel in R&D,
Military Construction,
Pay and Allowances of Military Personnel in R&D,
RDT&E Appropriation,
Special Foreign Currency Program,
"Health Affairs, Assistant Secretary of Defense for",https://www.health.mil/About-MHS/OASDHA
"Operational Test and Evaluation, Director",https://www.dote.osd.mil/
"Test and Evaluation, Deputy Under Secretary of Defense",https://www.defense.gov/Our-Story/Biographies/Biography/Article/1815832/timothy-s-dare/
Department of Education,https://www.ed.gov/
Department of Energy,https://www.energy.gov/
Advanced Research Projects Agency-Energy (formerly Energy Transformation Acceleration Fund),https://arpa-e.energy.gov/
Bonneville Power Administration,https://www.bpa.gov/Pages/home.aspx
Civilian Radioactive Waste Management,
Electricity Delivery and Energy Reliability,https://www.energy.gov/oe/downloads/us-department-energy-office-electricity-delivery-energy-reliability-transmission
Energy Efficiency and Renewable Energy,https://www.energy.gov/eere/office-energy-efficiency-renewable-energy
Environmental Management,https://www.energy.gov/em/office-environmental-management
Fossil Energy,https://www.energy.gov/fe/office-fossil-energy
National Nuclear Security Administration,https://www.energy.gov/nnsa/national-nuclear-security-administration
Defense Programs,https://www.energy.gov/srs/programs/defense-programs
Fissile Materials Disposition,https://www.energy.gov/em/services/waste-management/nuclear-materials-disposition
Naval Reactors,https://www.energy.gov/nnsa/missions/powering-navy
Nuclear Nonproliferation,https://www.energy.gov/nnsa/missions/nonproliferation
Nuclear Energy,https://www.energy.gov/ne/office-nuclear-energy
Office of Intelligence,https://www.energy.gov/intelligence/office-intelligence-and-counterintelligence
Office of Science,https://www.energy.gov/science/office-science
Department of Health and Human Services,https://www.hhs.gov/
Administration for Children and Families,https://www.acf.hhs.gov/
Administration on Aging,https://acl.gov/about-acl/administration-aging
Agency for Healthcare Research and Quality (formerly Agency for Health Care Policy and Research),https://www.ahrq.gov/
Agency for Toxic Substances and Disease Registry,https://www.atsdr.cdc.gov/
"Alcohol, Drug Abuse, and Mental Health Administration",
Centers for Disease Control and Prevention,https://www.cdc.gov/
Centers for Medicare & Medicaid Services (formerly Health Care Financing Administration),https://www.cms.gov/
Food and Drug Administration,https://www.fda.gov/home
Health Resources Administration,
Health Resources and Services Administration,https://www.hrsa.gov/
Health Services Administration,
Human Development Services,
National Institutes of Health,https://www.nih.gov/
Office of the Assistant Secretary for Health,https://www.hhs.gov/ash/index.html
Office of the Secretary of Health and Human Services,https://www.hhs.gov/about/leadership/secretary/index.html
Office of the Assistant Secretary for Planning and Evaluation,https://aspe.hhs.gov/
Office of the Assistant Secretary for Health (formerly Office of Public Health and Science),https://www.hhs.gov/ash/index.html
Social Security Administration,https://www.ssa.gov/
Substance Abuse and Mental Health Services Administration,https://www.samhsa.gov/
Department of Homeland Security,https://www.dhs.gov/
Countering Weapons of Mass Destruction Office,https://www.dhs.gov/taxonomy/term/8359/all/feed
Cybersecurity and Infrastructure Security Agency,https://www.cisa.gov/
Science and Technology Directorate,https://www.dhs.gov/science-and-technology
Transportation Security Administration,https://www.tsa.gov/
U.S. Coast Guard,
U.S. Secret Service,https://www.secretservice.gov/
Department of Housing and Urban Development,https://www.hud.gov/
Department of the Interior,https://www.doi.gov/
Bonneville Power Administration,
Bureau of Indian Affairs,https://www.bia.gov/
Bureau of Land Management,https://www.blm.gov/
Bureau of Mines,
Bureau of Ocean Energy Management,https://www.boem.gov/
"Bureau of Ocean Energy Management, Regulation, & Enforcement (formerly Minerals Management Service)",
Bureau of Reclamation,https://www.usbr.gov/
Bureau of Safety and Environmental Enforcement,https://www.bsee.gov/
Federal Water Pollution Control Administration,
Heritage Conservation and Recreation Service,
National Biological Service,
National Park Service,https://www.nps.gov/index.htm
Office of Coal Research,
Office of the Secretary of the Interior,
Office of Surface Mining Reclamation and Enforcement,https://www.osmre.gov/
Office of Water Research and Technology,
Office of Saline Water,
Office of Water Resources Research,
U.S. Fish and Wildlife Service,https://www.fws.gov/
Bureau of Commercial Fisheries,
Bureau of Sport Fisheries and Wildlife,
U.S. Geological Survey,https://www.usgs.gov/
Department of Justice,https://www.justice.gov/
Bureau of Prisons,https://www.bop.gov/
Drug Enforcement Administration,https://www.dea.gov/
Federal Bureau of Investigation,https://www.fbi.gov/
Immigration and Naturalization Service,https://www.uscis.gov/
Office of Justice Programs,https://www.ojp.gov/
Office of Legal Policy,https://www.justice.gov/olp
Department of Labor,https://www.dol.gov/
Bureau of Apprenticeship and Training,
Bureau of Employment Security,
