agency,subagency,institution,agency_url
Department of Agriculture,Department of Agriculture,,https://www.usda.gov/
Department of Agriculture,  Agricultural Cooperative Service,,
Department of Agriculture,  Agricultural Marketing Service,,https://www.ams.usda.gov/
Department of Agriculture,  Agricultural Research Service,,https://www.ars.usda.gov/
Department of Agriculture,  Animal and Plant Health Inspection Service,,https://www.aphis.usda.gov/
Department of Agriculture,  Economic Research Service,,https://www.ers.usda.gov/
Department of Agriculture,  Economics and Statistics Service,,
Department of Agriculture,"  Economics, Statistics, and Cooperative Service",,
Department of Agriculture,"  Economics, Statistics, and Cooperative Service",    Economic Research Service,
Department of Agriculture,"  Economics, Statistics, and Cooperative Service",    Farmer Cooperative Service,
Department of Agriculture,"  Economics, Statistics, and Cooperative Service",    Statistical Reporting Service,
Department of Agriculture,  Food Safety and Inspection Service,,https://www.fsis.usda.gov/
Department of Agriculture,  Foreign Agricultural Service,,https://www.fas.usda.gov/
Department of Agriculture,  Forest Service,,https://www.fs.usda.gov/
Department of Agriculture,"  Grain Inspection, Packers, and Stockyards Administration",,https://www.gipsa.usda.gov/
Department of Agriculture,  Human Nutrition Information Service,,
Department of Agriculture,  National Agricultural Statistics Service,,https://www.nass.usda.gov/
Department of Agriculture,"  National Institute of Food and Agriculture (formerly Cooperative State Research, Education, and Extension Service)",,https://nifa.usda.gov/
Department of Agriculture,  Office of International Cooperation and Development,,
Department of Agriculture,  Office of Transportation,,
Department of Agriculture,  Rural Business-Cooperative Service,,
Department of Agriculture,  Science and Education Administration,,
Department of Agriculture,  Science and Education Administration,    Agricultural Research Service,
Department of Agriculture,  Science and Education Administration,    Cooperative State Research Service,
Department of Agriculture,  Science and Education Administration,    National Agricultural Library,https://www.nal.usda.gov/main/
Department of Commerce,Department of Commerce,,https://www.commerce.gov/
Department of Commerce,  Economic Development Administration,,
Department of Commerce,  Environmental Science Services Administration,,https://www.eda.gov/
Department of Commerce,  Maritime Administration,,
Department of Commerce,  Minority Business Development Agency,,
Department of Commerce,  National Fire Prevention and Control Administration,,https://www.mbda.gov/
Department of Commerce,  National Institute of Standards and Technology,,
Department of Commerce,  National Oceanic and Atmospheric Administration,,https://www.nist.gov/
Department of Commerce,  National Technical Information Service,,https://www.noaa.gov/
Department of Commerce,  National Telecommunications and Information Administration,,https://www.ntis.gov/
Department of Commerce,  Office of the Secretary of Commerce,,https://www.ntia.doc.gov/
Department of Commerce,  Office of Telecommunications,,https://www.commerce.gov/bureaus-and-offices/office-secretary
Department of Commerce,  Patent and Trademark Office,,
Department of Commerce,  U.S. Census Bureau,,https://www.uspto.gov/
Department of Commerce,  U.S. Travel and Tourism Administration,,https://www.census.gov/
Department of Defense,Department of Defense,,https://www.defense.gov/
Department of Defense,  Defense Agencies,    Chemical and Biological Defense ,https://www.acq.osd.mil/ncbdp/cbd/
Department of Defense,  Defense Agencies,    Defense Advanced Research Projects Agency,https://www.darpa.mil/
Department of Defense,  Defense Agencies,    Defense Business Transformation Agency,
