domain,n
cse.mrt.ac.lk,74
mails.ucas.ac.cn,12
aiit.ac.jp,11
ict.ac.cn,11
students.amikom.ac.id,11
ia.ac.cn,10
ie.u-ryukyu.ac.jp,10
iit.du.ac.bd,10
mail.ugm.ac.id,10
myuct.ac.za,10
mail.huji.ac.il,8
otcaix.iscas.ac.cn,8
it.kmitl.ac.th,6
nii.ac.jp,6
campus.technion.ac.il,5
g.ecc.u-tokyo.ac.jp,5
ist.osaka-u.ac.jp,5
mail.kmutt.ac.th,5
mhs.if.its.ac.id,5
nlpr.ia.ac.cn,5
s.akashi.ac.jp,5
students.jkuat.ac.ke,5
ic-itcr.ac.cr,4
iie.ac.cn,4
iis.u-tokyo.ac.jp,4
mi.t.u-tokyo.ac.jp,4
post.bgu.ac.il,4
student.uns.ac.id,4
ti.ukdw.ac.id,4
ai.kaist.ac.kr,3
iit.ac.lk,3
ios.ac.cn,3
mail.tau.ac.il,3
ms.dendai.ac.jp,3
shao.ac.cn,3
ska.ac.za,3
st.kyoto-u.ac.jp,3
student.telkomuniversity.ac.id,3
student.undip.ac.id,3
student.unpar.ac.id,3
student.unsika.ac.id,3
u.sogang.ac.kr,3
ucenfotec.ac.cr,3
ugrad.cse.buet.ac.bd,3
umin.ac.jp,3
umons.ac.be,3
aims.ac.za,2
alumni.tsukuba.ac.jp,2
bscse.uiu.ac.bd,2
campus.haifa.ac.il,2
chiba-fjb.ac.jp,2
cmu.ac.th,2
cs.technion.ac.il,2
cse.pstu.ac.bd,2
csu.ac.cn,2
ec.iut.ac.ir,2
ecei.tohoku.ac.jp,2
ed.tus.ac.jp,2
eis.hokudai.ac.jp,2
fitm.kmutnb.ac.th,2
g.bracu.ac.bd,2
hcil.snu.ac.kr,2
ihep.ac.cn,2
iscas.ac.cn,2
jsk.imi.i.u-tokyo.ac.jp,2
lreis.ac.cn,2
mail.unpas.ac.id,2
ncic.ac.cn,2
saeon.ac.za,2
std.stei.itb.ac.id,2
stu.kawahara.ac.jp,2
stud.acs.upb.ro,2
student.chula.ac.th,2
student.mercubuana-yogya.ac.id,2
student.ub.ac.id,2
student.ubl.ac.id,2
student.uinsgd.ac.id,2
student.unsil.ac.id,2
students.itb.ac.id,2
students.uii.ac.id,2
students.uin-suska.ac.id,2
students.uonbi.ac.ke,2
unpkediri.ac.id,2
ai.vub.ac.be,1
ait.kyushu-u.ac.jp,1
alumni.tus.ac.jp,1
amss.ac.cn,1
ane.cmc.osaka-u.ac.jp,1
apps.ipb.ac.id,1
arc.cs.okayama-u.ac.jp,1
arc.itb.ac.id,1
arch.cs.titech.ac.jp,1
bao.ac.cn,1
bene.fit.ac.jp,1
bi.cs.titech.ac.jp,1
bi.snu.ac.kr,1
big.ac.cn,1
bmi.ac.cn,1
bpe.es.osaka-u.ac.jp,1
c.mbox.nagoya-u.ac.jp,1
c.titech.ac.jp,1
cag.ac,1
catholic.ac.kr,1
cb.cs.titech.ac.jp,1
cc.it-hiroshima.ac.jp,1
cc.kyushu-u.ac.jp,1
cea-igp.ac.cn,1
chris.ac,1
cigit.ac.cn,1
cis.mak.ac.ug,1
club.kyutech.ac.jp,1
cndaqiang.ac.cn,1
cns.pi.titech.ac.jp,1
cns.s.u-tokyo.ac.jp,1
comp.iust.ac.ir,1
complex.ist.hokudai.ac.jp,1
cony.ac.cn,1
cs.colman.ac.il,1
cs.tau.ac.il,1
cs.ucy.ac.cy,1
cs.ui.ac.id,1
cs.unej.ac.id,1
cs.up.ac.za,1
csg.ci.i.u-tokyo.ac.jp,1
cspp.cc.u-tokyo.ac.jp,1
cu.ac.kr,1
dali.korea.ac.kr,1
dbcls.rois.ac.jp,1
dc.tohoku.ac.jp,1
dcslab.snu.ac.kr,1
dev.acsr.de,1
dm.snu.ac.kr,1
