domain,n
imperial.ac.uk,44
sheffield.ac.uk,27
ebi.ac.uk,25
bristol.ac.uk,17
sanger.ac.uk,15
my.bristol.ac.uk,14
exeter.ac.uk,11
diamond.ac.uk,10
stfc.ac.uk,10
robots.ox.ac.uk,9
sms.ed.ac.uk,7
glasgow.ac.uk,6
newcastle.ac.uk,6
student.manchester.ac.uk,6
uni.coventry.ac.uk,6
cs.ox.ac.uk,5
dcs.bbk.ac.uk,5
durham.ac.uk,5
kent.ac.uk,5
lancaster.ac.uk,5
myport.ac.uk,5
alumni.imperial.ac.uk,4
live.rhul.ac.uk,4
postgrad.manchester.ac.uk,4
student.gla.ac.uk,4
student.southstaffs.ac.uk,4
turing.ac.uk,4
cl.cam.ac.uk,3
jisc.ac.uk,3
live.napier.ac.uk,3
psy.ox.ac.uk,3
reading.ac.uk,3
research.gla.ac.uk,3
student.bham.ac.uk,3
ulster.ac.uk,3
bas.ac.uk,2
cruk.cam.ac.uk,2
cs.ucl.ac.uk,2
dtc.ox.ac.uk,2
ecs.soton.ac.uk,2
edu.salford.ac.uk,2
eng.ox.ac.uk,2
gatsby.ucl.ac.uk,2
inf.ed.ac.uk,2
kennedy.ox.ac.uk,2
maths.ox.ac.uk,2
mrc-cbu.cam.ac.uk,2
my.shu.ac.uk,2
nhm.ac.uk,2
physics.ox.ac.uk,2
rothamsted.ac.uk,2
software.ac.uk,2
stats.ox.ac.uk,2
students.plymouth.ac.uk,2
well.ox.ac.uk,2
ada.ac.uk,1
alumni.ucl.ac.uk,1
anthro.ox.ac.uk,1
astro.ox.ac.uk,1
babraham.ac.uk,1
bachuk.com,1
balliol.ox.ac.uk,1
bgs.ac.uk,1
bodleian.ox.ac.uk,1
brighton.ac.uk,1
brl.ac.uk,1
ceh.ac.uk,1
chem.ox.ac.uk,1
crick.ac.uk,1
cs.bham.ac.uk,1
cs.cf.ac.uk,1
damtp.cam.ac.uk,1
earlham.ac.uk,1
earth.ox.ac.uk,1
email.ulster.ac.uk,1
fashion.arts.ac.uk,1
gcu.ac.uk,1
geodata.soton.ac.uk,1
glyndwr.ac.uk,1
go.edgehill.ac.uk,1
hertford.ox.ac.uk,1
hutton.ac.uk,1
icr.ac.uk,1
igmm.ed.ac.uk,1
it.ox.ac.uk,1
jic.ac.uk,1
keble.ox.ac.uk,1
linacre.ox.ac.uk,1
live.tees.ac.uk,1
liverpool.ac.uk,1
lopaciuk.eu,1
mail.bbk.ac.uk,1
mail.wbs.ac.uk,1
materials.ox.ac.uk,1
members.leeds.ac.uk,1
mrao.cam.ac.uk,1
mrc-bsu.cam.ac.uk,1
mrc-lmb.cam.ac.uk,1
my.brunel.ac.uk,1
mymail.sussexdowns.ac.uk,1
ndm.ox.ac.uk,1
noc.ac.uk,1
oerc.ox.ac.uk,1
online.liverpool.ac.uk,1
plants.ox.ac.uk,1
primarygoal.ac.uk,1
queens.ox.ac.uk,1
r.thom.09[at]aberdeen.ac.uk,1
research.staffs.ac.uk,1
roe.ac.uk,1
roslin.ed.ac.uk,1
sams.ac.uk,1
sanger [.ac.uk],1
se18.qmul.ac.uk,1
silver.sucs.swan.ac.uk,1
some.ox.ac.uk,1
star.ucl.ac.uk,1
statslab.cam.ac.uk,1
stu.mmu.ac.uk,1
student.le.ac.uk,1
student.liverpool.ac.uk,1
student.london.ac.uk,1
students.lincoln.ac.uk,1
students.rave.ac.uk,1
study.beds.ac.uk,1
swansea.ac.uk,1
Swansea.ac.uk,1
uad.ac.uk,1
uni.brighton.ac.uk,1
uni.strath.ac.uk,1
uni.worc.ac.uk,1
univ.ox.ac.uk,1
uws.ac.uk,1
vam.ac.uk,1
wadh.ox.ac.uk,1
wellcome.ac.uk,1
