domain,n
stud.sbg.ac.at,14
oeaw.ac.at,8
student.tuwien.ac.at,6
ait.ac.at,3
student.tgm.ac.at,3
fh-salzburg.ac.at,2
gmi.oeaw.ac.at,2
student.uibk.ac.at,2
unet.univie.ac.at,2
wu.ac.at,2
acin.tuwien.ac.at,1
brgenns.ac.at,1
cemm.oeaw.ac.at,1
haccat.com,1
htbla-weiz.ac.at,1
iiasa.ac.at,1
khachatryan.info,1
khachatryan.org,1
kr.tuwien.ac.at,1
macwatters.com,1
mail.hackathon.de,1
meduniwien.ac.at,1
powtac at gmx.de,1
sachatelgenhof.com,1
sidharthachatterjee.com,1
students.htl-leonding.ac.at,1
tbi.univie.ac.at,1
