domain,n
itbhu.ac.in,27
research.iiit.ac.in,24
iiita.ac.in,21
students.iiit.ac.in,19
iitbhu.ac.in,13
iitkgp.ac.in,13
iitrpr.ac.in,13
pilani.bits-pilani.ac.in,12
vitstudent.ac.in,10
cs.iitr.ac.in,9
dtu.ac.in,8
goa.bits-pilani.ac.in,8
fusemachines.com,7
hyderabad.bits-pilani.ac.in,7
iisc.ac.in,7
siesgst.ac.in,7
kiit.ac.in,6
lnmiit.ac.in,5
students.iitmandi.ac.in,5
thecodingmachine.com,5
ves.ac.in,5
cet.ac.in,4
cse.iitk.ac.in,4
ducic.ac.in,4
iiitdmj.ac.in,4
iitd.ac.in,4
thinkingmachin.es,4
actindi.net,3
am.ism.ac.in,3
bmsce.ac.in,3
cse.iitb.ac.in,3
exmachina.nl,3
iiitkalyani.ac.in,3
iitbbs.ac.in,3
iitbhilai.ac.in,3
st.jmi.ac.in,3
stu.upes.ac.in,3
student.nitw.ac.in,3
bitmesra.ac.in,2
bitsathy.ac.in,2
ch.iitr.ac.in,2
coep.ac.in,2
cse.iitd.ac.in,2
ec.iitr.ac.in,2
ee.iitr.ac.in,2
gla.ac.in,2
iiitdm.ac.in,2
iiitl.ac.in,2
iiitmanipur.ac.in,2
iitjammu.ac.in,2
knit.ac.in,2
mechyd.ac.in,2
mkce.ac.in,2
mt.iitr.ac.in,2
nsut.ac.in,2
promactinfo.com,2
sicsr.ac.in,2
srec.ac.in,2
student.nitandhra.ac.in,2
suiit.ac.in,2
achinthagunasekara.com,1
acoinfo.com,1
aec.ac.in,1
alumni.iitm.ac.in,1
am.iitism.ac.in,1
animal-machine.com,1
approachingpi.com,1
beatpacking.com,1
bertolaccini.dev,1
boghacking.com,1
breachintelligence.com,1
bt.iitr.ac.in,1
btech.nitdgp.ac.in,1
busymachines.com,1
canadacoin.org,1
casualhacking.io,1
cdac.in,1
ched.svnit.ac.in,1
cirrusmachina.com,1
coed.svnit.ac.in,1
cse.iitm.ac.in,1
cse.jgec.ac.in,1
cutemachine.com,1
damacoin.org,1
dataclinica.cl,1
davemackintosh.co.uk,1
davidthemachine.org,1
devopsmachine.com,1
dgct.ac.in,1
digitalpandacoin.org,1
doracoin.me,1
ece.iitism.ac.in,1
ece.ism.ac.in,1
el.vjti.ac.in,1
fachinformatiker.app,1
fitsbachinteractive.com,1
flyingmachinestudios.com,1
fme.ism.ac.in,1
ganjacoinpro.com,1
geu.ac.in,1
giantmachines.com,1
gizmosachin.com,1
gvpce.ac.in,1
hacking-linux.com,1
hacking.studio,1
hackingand.coffee,1
hackingcpp.com,1
hackingedu.co,1
hackinggate.com,1
hackingsma.com,1
hackingwithswift.com,1
happyhacking.ninja,1
happyhacking.nl,1
hbtu.ac.in,1
heisamachine.com,1
htic.iitm.ac.in,1
https://github.com/thanayuth855/bugfree-octo-computing-machine.git,1
ict.gnu.ac.in,1
igdtuw.ac.in,1
iiitbh.ac.in,1
iiitranchi.ac.in,1
iisermohali.ac.in,1
iittp.ac.in,1
insightmachines.com,1
interfaceinnovations.org,1
isaachinman.com,1
isaaclin.cn,1
isaaczinda.com,1
islacoin.net,1
ismu.ac.in,1
it-machine.ru,1
jackinpoint.net,1
jecrc.ac.in,1
jietjodhpur.ac.in,1
jmit.ac.in,1
jordanmachine.com,1
justmachinery.net,1
karpagamtech.ac.in,1
kce.ac.in,1
kumacoin.dev,1
learningmachine.com,1
licet.ac.in,1
lintmachine.com,1
ma.iitr.ac.in,1
mac.into.sh,1
machinaut.com,1
machinebox.io,1
machined.de,1
machinefloor.com,1
machinekoder.com,1
machinelevel.com,1
machinemetrics.com,1
machinerypete.com,1
machinetalk.org,1
machinethink.net,1
machini.st,1
machinify.com,1
machinimatrix.org,1
macromachines.net,1
mail at sachinpatil.com,1
mail.palacsint.hu,1
mcmackins.org,1
me.iitr.ac.in,1
mec.ac.in,1
middlemachine.com,1
mrbrackins.com,1
mtech2016.iitgn.ac.in,1
myamu.ac.in,1
neuralmachines.co.uk,1
noisemachines.io,1
ourmachine.net,1
paccini.com,1
pachinkolabs.com,1
parallelmachines.com,1
phd.nitdgp.ac.in,1
pilani.bits-pilan.ac.in,1
pineapplemachine.com,1
pixelmachine.org,1
primordialmachine.com,1
privacyinternational.org,1
quantumachine.net,1
rac-in.com,1
reachingbeyondborders.org,1
recachinas.dev,1
sachinshinde.com,1
sachintha.com,1
segonzac.info,1
sevenmachines.org,1
sggs.ac.in,1
sharpmachinemedia.com,1
sightmachine.com,1
smail.iitm.ac.in,1
smail.iitpkd.ac.in,1
smvdu.ac.in,1
spaceindex.de,1
spencermackinnon.com,1
spit.ac.in,1
sscbs.du.ac.in,1
stackingdwarves.net,1
statemachinesystems.co.uk,1
students.vnit.ac.in,1
survival-machines.fr,1
tachingchen.com,1
taclin.nl,1
teletracking.com,1
thakursachin467.tech,1
themodernmachine.com,1
tkmce.ac.in,1
viit.ac.in,1
virexmachina.com,1
vvce.ac.in,1
vyachin.net,1
webmachine.cl,1
westfieldcontracting.co.uk,1
wilp.bits-pilani.ac.in,1
